Unit,Detector,Pre-drift F1,Mid-drift F1,Post-drift F1
1,IF,0.8571428571428571,0.13953488372093023,0.08
1,OCSVM,0.36363636363636365,0.13636363636363635,0.08
1,ADWIN,0.0,0.0,0.0
2,IF,0.75,0.18181818181818182,0.06936416184971098
2,OCSVM,0.16666666666666666,0.17777777777777778,0.06936416184971098
2,ADWIN,0.0,0.0,0.0
3,IF,0.6666666666666666,0.09523809523809523,0.12698412698412698
3,OCSVM,0.4,0.09302325581395349,0.12698412698412698
3,ADWIN,0.0,0.0,0.0
